method,cell_type,eval_cohort,fold,layer,seed,R,MAE,ci_lo,ci_hi,n_train,n_eval,notes
geneformer_rank32_lora_3seed_layer2,CD4+ T,onek1k,loco_onek1k,2.0000,,0.4896,29.6972,,,,,"rank-32 LoRA 3-seed mean (R_std=0.032, MAE_std=6.06)"
geneformer_rank32_lora_3seed_layer2,CD4+ T,aida,loco_onek1k,2.0000,,0.4664,9.6832,,,,,"rank-32 LoRA 3-seed AIDA cross-ancestry (R_std=0.028, MAE_std=2.21)"
geneformer_rank32_lora_3seed_layer3,CD4+ T,onek1k,loco_onek1k,3.0000,,0.5422,22.9589,,,,,"rank-32 LoRA 3-seed mean (R_std=0.015, MAE_std=7.66)"
geneformer_rank32_lora_3seed_layer3,CD4+ T,aida,loco_onek1k,3.0000,,0.4378,10.3794,,,,,"rank-32 LoRA 3-seed AIDA cross-ancestry (R_std=0.019, MAE_std=2.62)"
geneformer_rank32_lora_3seed_layer4,CD4+ T,onek1k,loco_onek1k,4.0000,,0.5047,40.1913,,,,,"rank-32 LoRA 3-seed mean (R_std=0.012, MAE_std=1.32)"
geneformer_rank32_lora_3seed_layer4,CD4+ T,aida,loco_onek1k,4.0000,,0.4128,9.2287,,,,,"rank-32 LoRA 3-seed AIDA cross-ancestry (R_std=0.034, MAE_std=0.85)"
geneformer_rank32_lora_3seed_layer5,CD4+ T,onek1k,loco_onek1k,5.0000,,0.5886,21.5751,,,,,"rank-32 LoRA 3-seed mean (R_std=0.012, MAE_std=3.25)"
geneformer_rank32_lora_3seed_layer5,CD4+ T,aida,loco_onek1k,5.0000,,0.4289,9.7588,,,,,"rank-32 LoRA 3-seed AIDA cross-ancestry (R_std=0.010, MAE_std=0.53)"
geneformer_rank32_lora_3seed_layer6,CD4+ T,onek1k,loco_onek1k,6.0000,,0.6195,20.3087,,,,,"rank-32 LoRA 3-seed mean (R_std=0.019, MAE_std=5.15)"
geneformer_rank32_lora_3seed_layer6,CD4+ T,aida,loco_onek1k,6.0000,,0.4995,8.7653,,,,,"rank-32 LoRA 3-seed AIDA cross-ancestry (R_std=0.069, MAE_std=1.18)"
geneformer_rank32_lora_3seed_layer7,CD4+ T,onek1k,loco_onek1k,7.0000,,0.5994,19.8120,,,,,"rank-32 LoRA 3-seed mean (R_std=0.012, MAE_std=3.86)"
geneformer_rank32_lora_3seed_layer7,CD4+ T,aida,loco_onek1k,7.0000,,0.5118,7.9357,,,,,"rank-32 LoRA 3-seed AIDA cross-ancestry (R_std=0.025, MAE_std=0.23)"
geneformer_rank32_lora_3seed_layer8,CD4+ T,onek1k,loco_onek1k,8.0000,,0.5962,30.4513,,,,,"rank-32 LoRA 3-seed mean (R_std=0.017, MAE_std=3.40)"
geneformer_rank32_lora_3seed_layer8,CD4+ T,aida,loco_onek1k,8.0000,,0.5845,7.5118,,,,,"rank-32 LoRA 3-seed AIDA cross-ancestry (R_std=0.025, MAE_std=0.24)"
geneformer_rank32_lora_3seed_layer9,CD4+ T,onek1k,loco_onek1k,9.0000,,0.6062,25.0719,,,,,"rank-32 LoRA 3-seed mean (R_std=0.016, MAE_std=4.37)"
geneformer_rank32_lora_3seed_layer9,CD4+ T,aida,loco_onek1k,9.0000,,0.5937,7.3273,,,,,"rank-32 LoRA 3-seed AIDA cross-ancestry (R_std=0.025, MAE_std=0.38)"
geneformer_rank32_lora_3seed_layer10,CD4+ T,onek1k,loco_onek1k,10.0000,,0.6209,20.9736,,,,,"rank-32 LoRA 3-seed mean (R_std=0.011, MAE_std=4.65)"
geneformer_rank32_lora_3seed_layer10,CD4+ T,aida,loco_onek1k,10.0000,,0.6030,7.7131,,,,,"rank-32 LoRA 3-seed AIDA cross-ancestry (R_std=0.014, MAE_std=0.10)"
geneformer_rank32_lora_3seed_layer11,CD4+ T,onek1k,loco_onek1k,11.0000,,0.5745,28.8961,,,,,"rank-32 LoRA 3-seed mean (R_std=0.013, MAE_std=9.83)"
geneformer_rank32_lora_3seed_layer11,CD4+ T,aida,loco_onek1k,11.0000,,0.6122,8.0766,,,,,"rank-32 LoRA 3-seed AIDA cross-ancestry (R_std=0.019, MAE_std=0.79)"
geneformer_rank32_lora_3seed_layer12,CD4+ T,onek1k,loco_onek1k,12.0000,,0.6332,12.2017,,,,,"rank-32 LoRA 3-seed mean (R_std=0.013, MAE_std=1.21)"
geneformer_rank32_lora_3seed_layer12,CD4+ T,aida,loco_onek1k,12.0000,,0.5945,8.1149,,,,,"rank-32 LoRA 3-seed AIDA cross-ancestry (R_std=0.016, MAE_std=0.43)"
